Information listing created by	Afonso Araújo
Date	25-Nov-2023 17:19:00
Current work part	C:\Users\Afonso\Documents\MATLAB\MComp\Projeto MComp\teste_fem1.fem
Node name	DESKTOP-5AECOVI


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  89                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 84 85 91 92
  90                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 84 92 152 153
  91                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 89 144 145 93
  92                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 94 87 88 90
  93                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 94 90 89 93
  94                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 95 93 145 146
  95                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 96 91 85 86
  96                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 96 86 87 94
  97                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 151 196 136 102
  98                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 150 151 102 103
  99                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 149 150 103 104
  100                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 105 169 199 148
  101                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 105 148 149 104
  102                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 109 102 136 137
  103                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 108 109 137 138
  104                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 107 108 138 139
  105                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 140 141 88 106
  106                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 140 106 107 139
  107                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 116 115 112 113
  108                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 116 113 108 107
  109                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 114 115 116 117
  110                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 106 117 116 107
  111                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 111 112 115 118
  112                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 119 98 99 110
  113                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 119 110 111 118
  114                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 86 85 97 120
  115                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 120 97 98 119
  116                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 118 115 114 121
  117                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 118 121 120 119
  118                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 103 102 109 123
  119                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 123 109 108 113
  120                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 124 168 169 105
  121                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 101 167 168 124
  122                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 125 110 99 100
  123                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 126 122 112 111
  124                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 126 111 110 125
  125                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 127 97 85 84
  126                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 127 84 153 154
  127                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 129 1 165 166
  128                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 129 166 167 101
  129                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 130 128 3 2
  130                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 130 2 1 129
  131                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 100 99 128 130
  132                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 100 130 129 101
  133                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 131 128 99 98
  134                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 131 98 97 127
  135                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 132 133 131 127
  136                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 132 127 154 155
  137                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 132 155 156 4
  138                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 3 128 131 133
  139                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 3 133 132 4
  140                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 7 56 62 134
  141                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 62 8 23 134
  142                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 23 20 7 134
  143                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 135 71 67 9
  144                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 135 9 52 12
  145                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 135 12 22 23
  146                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 135 23 8 71
  147                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 177 204 29 32
  148                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 177 32 18 21
  149                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 176 177 21 13
  150                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 18 32 33 31
  151                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 31 30 19 18
  152                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 55 54 175 53
  153                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 53 52 51 55
  154                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 162 83 78 161
  155                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 162 63 58 83
  156                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 163 59 63 162
  157                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 77 65 68 69
  158                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 69 64 76 77
  159                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 65 77 76 75
  160                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 75 74 66 65
  161                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 95 146 91 96
  162                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 96 94 93 95
  163                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 87 86 120 121
  164                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 87 121 114 117
  165                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 88 87 117 106
  166                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 113 112 122 123
  167                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 100 101 124 125
  168                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 125 124 105 126
  169                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 126 105 104 122
  170                  | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 122 104 103 123
 
------------------------------------------------------------
 
