Information listing created by	joaol
Date	06-Dec-2023 23:43:36
Current work part	C:\Users\joaol\OneDrive - Universidade de Lisboa\Ambiente de Trabalho\Ficheiros NX\Malha simétrica\Malha base Q4 eixo\Modelo\model1base_fem1.fem
Node name	DESKTOP-FSDCSN1


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  121                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 363 337 1009 1010 583 566 1031 584
  122                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 363 1010 1011 364 584 1032 585 586
  123                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 364 1011 1012 365 585 1033 587 588
  124                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 365 1012 1013 366 587 1034 589 590
  125                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 366 1013 1014 367 589 1035 591 592
  126                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 367 1014 1015 330 591 1036 593 594
  127                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 367 330 331 368 594 595 596 597
  128                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 368 331 332 369 596 598 599 600
  129                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 369 332 333 370 599 601 602 603
  130                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 370 333 334 371 602 604 605 606
  131                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 371 334 335 372 605 607 608 609
  132                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 372 335 336 373 608 610 611 612
  133                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 373 336 956 957 611 613 970 614
  134                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 373 957 958 374 614 971 615 616
  135                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 374 958 959 375 615 972 617 618
  136                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 375 959 960 341 617 973 548 619
  137                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 376 340 339 377 620 555 621 622
  138                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 377 339 338 378 621 561 623 624
  139                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 378 338 337 363 623 568 583 625
  140                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 382 380 370 371 626 627 606 628
  141                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 372 373 374 381 612 616 629 630
  142                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 372 381 382 371 630 631 628 609
  143                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 383 376 377 379 632 622 633 634
  144                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 383 379 380 382 634 635 626 636
  145                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 381 374 375 384 629 618 637 638
  146                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 381 384 383 382 638 639 636 631
  147                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 386 369 370 380 640 603 627 641
  148                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 386 387 368 369 642 643 600 640
  149                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 388 378 363 364 644 625 586 645
  150                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 388 364 365 385 645 588 646 647
  151                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 379 377 378 388 633 624 644 648
