Information listing created by	Afonso Araújo
Date	07-Dec-2023 00:41:54
Current work part	C:\Users\Afonso\Documents\MATLAB\MComp\Projeto MComp\comsimetria_fem1.fem
Node name	DESKTOP-5AECOVI


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  77                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 74 76 1 2 395 393 396 380
  78                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 83 776 777 14 397 789 338 398
  79                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 82 889 890 84 399 894 400 401
  80                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 82 84 85 81 401 402 403 404
  81                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 86 891 979 775 405 895 790 406
  82                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 86 775 776 83 406 791 397 407
  83                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 84 890 891 86 400 896 405 408
  84                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 90 10 9 77 409 304 410 411
  85                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 90 77 78 87 411 412 413 414
  86                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 89 11 10 90 415 306 409 416
  87                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 89 90 87 88 416 414 417 418
  88                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 92 888 889 82 419 897 399 420
  89                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 92 82 81 91 420 404 421 422
  90                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 93 91 88 87 423 424 417 425
  91                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 93 87 78 79 425 413 426 427
  92                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 94 887 888 92 428 898 419 429
  93                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 94 92 91 93 429 422 423 430
  94                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 80 886 887 94 431 899 428 432
  95                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 80 94 93 79 432 430 427 433
  96                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 99 77 9 8 434 410 360 435
  97                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 99 8 7 95 435 366 436 437
  98                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 100 78 77 99 438 412 434 439
  99                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 100 99 95 96 439 437 440 441
  100                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 101 79 78 100 442 426 438 443
  101                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 101 100 96 97 443 441 444 445
  102                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 102 885 886 80 446 900 431 447
  103                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 102 80 79 101 447 433 442 448
  104                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 98 884 885 102 449 901 446 450
  105                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 98 102 101 97 450 448 445 451
  106                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 108 95 7 6 452 436 364 453
  107                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 108 6 5 103 453 356 454 455
  108                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 107 883 884 98 456 902 449 457
  109                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 106 107 98 97 458 457 451 459
  110                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 109 96 95 108 460 440 452 461
  111                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 109 108 103 104 461 455 462 463
  112                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 105 106 97 110 464 459 465 466
  113                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 97 96 109 110 444 460 467 465
  114                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 105 110 109 104 466 467 463 468
  115                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 71 881 882 113 388 903 469 470
  116                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 114 111 112 115 471 472 473 474
  117                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 112 72 71 115 475 385 476 473
  118                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 114 115 71 113 474 476 470 477
  119                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 113 882 883 107 469 904 456 478
  120                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 106 105 111 114 464 479 471 480
  121                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 106 114 113 107 480 477 478 458
  122                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 111 105 104 116 479 468 481 482
  123                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 117 73 72 112 483 394 475 484
  124                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 117 112 111 116 484 472 482 485
  125                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 118 116 104 103 486 481 462 487
  126                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 118 103 5 4 487 454 359 488
  127                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 118 4 814 815 488 350 833 489
  128                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 815 816 73 117 834 390 483 490
  129                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 815 117 116 118 490 485 486 489
  130                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 959 986 974 131 960 976 491 492
  131                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 132 130 957 958 493 494 961 495
  132                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 132 958 959 131 495 962 492 496
